Locale,Ideology,Topic,SubTopic,Test paragraph,CC hits,% Relevant,Keywords,,,,,
en,POP,Call to vigilante action,Stop the Steal,"If these election officials want to stop getting those death threats, I think they should do right thing, admit the fraud, and refust to certify the so-called results.","4,440",100%,election official,death threat,,,,
en,POP,Call to vigilante action,Limbaugh,"To hear Rush Limbaugh, the dominant mainstream voice of right wing radio for my entire adult life, calling for ""Civil War"" while toy soldiers storm the capitol (without a plan!)left me gasping.",864,63%,Limbaugh,civil war,,,,
,,,,,,,,,,,,
16. Dehumanization/”Othering” of Political Opponents,,,,,,,,,,,,
,,,,,,,,,,,,
en,NAT,Dehumanization of opponents,Dehumanization,"Democracy relies on being able to see the commonality between two citizens who disagree, even vehemently, with one another, without dehumanizing one's opponents.","2,210",100%,dehumaniz,opponent,,,,
en,NAT,Dehumanization of opponents,Terrorist,The dehumanizing effects of constant false accusations of terrorist ties and secret foreign billionaire backers makes both sides view each other with a contempt that makes democratic discussion and problem solving almost impossible,"22,178",43%,false accusations|incrimination|insinuation|dog whistle,terrorist|security threat|criminal,,,,
en,NAT,Dehumanization of opponents,Not real citizens,"If you don't see large swaths of your country's voters as ""legitimate"", not real citizens, dehumanizing them, then by that very lack of trust and fellowship, you won't trust outcomes of elections, because you feel so many ""fake"" citizens voted. ","1,800",35%,dehumanizing|invalidating|judging,citizen|neighbor|country,fellow|fellowship,,,
en,NAT,Dehumanization of opponents,Democrat=Unamerican,"Once you have accepted the misinformation that Democrats are somehow not real Americans, it is a slippery slope from there.",49,100%,Democrats|demon rats|leftist|socialist|antifa,not real Americans,,,,
,,,,,,,,,,,,
17. Restrictions on Free Speech (Real or Imagined),,,,,,,,,,,,
,,,,,,,,,,,,
en,POP,Restrictions on free speech,Free Speech,"Conservatives have cried ""liberal bias"",  when justified and when not, for over 40 years, but not until the internet landscape of outrageous memes and heated rhetoric have the Conservatives really leaned into painting themselves as the victims, seeing liberal bias in the moderation of hate speech and other forbidden areas for digital public space as somehow restrictions of their right to free speech.","128,816",93%,free speech|civil discourse,restrictions|conservative|liberal bias,,,,
en,POP,Restrictions on free speech,State run media,"Once populists control the government, the pressure to have state media dominate the landscape becomes immediately clear, with limitations to free speech almost always being part of the authoritarian package.","9,798",73%,free speech|civil discourse,state media|Fox|Newsmax|OAN,,,,
en,POP,Restrictions on free speech,Corporate censorship,"Advertiser boycotts of right wing media voices after they had made extreme or outlandish claims  -- these are seen as censorship, or as a restriction on free speech, when somewhat ironically, they are that invisible hand of the market conservatives praise so often, in this case, spanking them.",247,94%,free speech|civil discourse,censorship|bias,right wing media|alt-right|fringe,,,
en,POP,Restrictions on free speech,Social media bias,"Moderation on social media has taken a stand against hate speech; among some on the alt-right, it appeared that this monitoring of content fell disproportionately on conservative commentators, accusing Twitter and Facebook of a left-wing bias.","284,262",67%,left wing bias|censorship,Twitter|facebook|whats app|instagram|tik tok,,,,
en,POP,Restrictions on free speech,De-Platforming,"The Twitter de-platforming of the duly elected President of the United States before the end of his term, coupled with the decision on the behalf of Google to break up with Parler, confirms what many true conservatives have known for a long time -- silicon valley has an indelible stain of left wing bias all over it.","168,528",71%,left wing bias|censorship,Parler|google|deplatforming,,,,
,,,,,,,,,,,,
18. Loss of Sovereignty to Supernationals/Globalists,,,,,,,,,,,,
,,,,,,,,,,,,
en,NAT,Loss of sovereignty,Sovereignty,"For those who watched industry after industry outsourcing jobs, the globalist agenda seemed hell bent on weakening the nation state economically, leading inexorably to loss of sovereignty and a world authority government.","72,323",57%,loss of sovereignty|self-determination|autonomy,outsourcing|global,,,,
en,NAT,Loss of sovereignty,EU,The European Union has always sought to balance any federalized powers and loss of sovereignty for its member states with firm guarantees of self determination and autonomy in other areas. Brexit has undermined that trust and balance in the EU immensely.,"53,987",76%,loss of sovereignty|self-determination|autonomy,European Union|The EU,,,,
en,NAT,Loss of sovereignty,UN,"If you aren't worried about the black helicopter and blue Honda Elements coming to your town as Biden hands the whole kaboodle over to the United Nations by the end of his terms, then your worst nightmares of loss of sovereignty for the US are going catch you by surprise as they come true.","26,733",83%,loss of sovereignty|self-determination|autonomy,United Nations,,,,
en,NAT,Loss of sovereignty,WTO,"A catalyst for economic development, the World Trade Organization, the abrogations of trade agreements and price negotiations have left lots of unionists deeply critical of an institution they see as an engine for loss of sovereignty among its member states.","1,442",78%,loss of sovereignty|self-determination|autonomy,World Trade Organization,,,,
en,NAT,Loss of sovereignty,WTO,"The WTO riots of twenty years ago were the first indication that some populist ideologies on both the Left and Right had become aware that what they then called the ""New World Order"" represented a significant loss of sovereignty for their home countries.","1,442",82%,loss of sovereignty|self-determination|autonomy,WTO,,,,
,,,,,,,,,,,,
19. Resentment of Societal Support for Undeserved/Unmerited/Foriegn ,,,,,,,,,,,,
,,,,,,,,,,,,
en,NAT,Undeserving support,Undeserving,"Despite domestic benefit programs having been in place for two generations, the depiction of this social safety net as merely undeserved government hand outs to vagrants and drug addicts has falsely built resentment toward those programs for at least the last 25 years.","63,970",42%,resentment|begrudge|withhold|disparage,government hand outs|benefits|welfare|safety net,,,,
en,NAT,Undeserving support,TUD,"Despite domestic benefit programs having been in place for two generations, the depiction of this social safety net as merely undeserved government hand outs to vagrants and drug addicts has falsely built resentment toward those programs for at least the last 25 years.",914,74%,resentment|begrudge|withhold|disparage,government hand outs|benefits|welfare|safety net,hostage|out of touch|self-interest|campaign promise|hard-working|honest people|law and order|miscreant|mouthpiece|negligent|people demand|political freedom|public institutions|reckless|silent majority|subservient|take back control|treason|nepotism|rule over|conspiracy|brainwash|pride|guilty|big companies,,,
en,NAT,Undeserving support,Makers v. takers,"Romney's classic division of the general population between ""makers"" and ""takers"" still resonnates with many conservative Americans as an abiding source of resentment.",53,96%,resentment|begrudge|withhold|disparage,makers,takers,,,
en,NAT,Undeserving support,Immigrant,"They asked if I had any feelings of resentment about immigrants in this country, and I told them straight, it doesn't make sense to me that my tax dollars go to person whose only real qualification for government benefits is they could pilot a boat to land on our shores.","1,270",97%,resentment|begrudge|withhold|disparage,immigrants|foreigners|refugees|asylum seekers,benefits|hand outs|welfare,,,
en,NAT,Undeserving support,UBI,"Unable to conceive of a post-labor economy, most conservative voters just cannot stand the idea of re-distribution of wealth on the level of Universal Basic Income, and will testify vociferously about how much resentment and tax revolt such a policy would cause.","2,614",32%,resentment|begrudge|withhold|disparage,Universal Basic Income|UBI|basic monthly income|BMI|monthly stipend,,,,
,,,,,,,,,,,,
20. Civic Engagement,,,,￼,,,,,,,,
en,LIB,Citizen Engagement,Engagement,Citizen participation is good for everybody,"818,892",84%,Citizens Engagement|Citizens Participation|Citizen Engagement|Citizen Participation|Civic Engagement|digital democracy|edemocracy|e-democracy, ,,,,
en,LIB,Citizen Engagement,Positive,Citizen engagement is helpful to solve complex problems,"52,713",90%,Citizens Engagement|Citizens Participation|Citizen Engagement|Citizen Participation|Civic Engagement|digital democracy|edemocracy|e-democracy,Positive|helpful|meaningful|gain,,,,
en,LIB,Citizen Engagement,Negative,To much citizen participation is harmful for democracy,"2,835",97%,Citizens Engagement|Citizens Participation|Citizen Engagement|Citizen Participation|Civic Engagement|digital democracy|edemocracy|e-democracy,Harmful|negative|loss,,,,
,,,,￼,,,,,,,,
21. Democratic innovation,,,, ,,,,,,,,
en,LIB,Democratic Innovation,Innovation,Democratic innovation is important,"24,735",86%,Democratic innovation|civic innovation,,,,,
en,LIB,Democratic Innovation,Positive,Democratic innovation is positive,373,99%,Democratic innovation|civic innovation,Positive|helpful|meaningful|gain,,,,
en,LIB,Democratic Innovation,Negative,Democratic innovation is harmful,50,90%,Democratic innovation|civic innovation,Harmful|negative|loss,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
22. UKIP Populism,,,,,,,,,,,,
en,NAT,UKIP,UKIP Main,"UKIP felt it's control of the struggle slipping away, even as its one time ally, Boris Johnson, ascended to power.","14,130",90%,UKIP|UK Independence Party,Control,,,,
en,NAT,UKIP,UKIP/Brexit,UKIP's success with Brexit would ultimately be its undoing.,"57,640",48%,UKIP|UK Independence Party,Brexit,,,,
en,NAT,UKIP,UKIP & Nigel,"UK Independence Party maverick, Nigel Farage, ended up bearing the brunt of the consequences for the party's vocal fringe elements.","6,482",63%,UK Independence Party,Nigel Farage,,,,
en,NAT,UKIP,UKIP 2,"Boris Johnson manage to ditch his association with UKIP relatively unscathed, proving his relationship with the Tory bench ran deep.","9,128",32%,UKIP,Boris Johnson,,,,
